nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit
Greasque Sora Dora for women and men,for women and men, - aromatic - green - fresh spicy - woody - caramel - herbal, 28.5714%, 9.52381%, 61.9048%, 100%, 44%, 32%, 32%, 20%, 46.875%, 100%, 78.125%, 78.125%, 90.625%, 68.75%
Kamel Oud Sora Dora for women and men,for women and men, - woody - aromatic - fresh spicy - oud - warm spicy, 35%, 11.6667%, 53.3333%, 100%, 60.8696%, 30.4348%, 30.4348%, 65.2174%, 100%, 35.4839%, 6.45161%, 90.3226%, 51.6129%, 74.1936%
Mandorle Sora Dora for women and men,for women and men, - vanilla - powdery - woody - musky - sweet - leather - caramel - rum - warm spicy - amber, 23.2263%, 5.6012%, 71.1725%, 100%, 46%, 20.6667%, 13.3333%, 8.66667%, 100%, 37.0079%, 14.1732%, 97.6378%, 41.7323%, 88.189%
Orchidée Rouge Sora Dora for women and men,for women and men, - vanilla - almond - sweet - powdery - caramel - balsamic - warm spicy - citrus - aromatic - nutty, 22.5263%, 9.26316%, 68.2105%, 100%, 65.9574%, 44.6809%, 19.1489%, 10.6383%, 94.1176%, 73.5294%, 17.6471%, 100%, 76.4706%, 58.8235%
Vanuatu Sora Dora for women and men,for women and men, - woody - fresh spicy - powdery - warm spicy - ozonic - green - fruity - violet, 33.7079%, 17.9775%, 48.3146%, 85.7143%, 100%, 57.1429%, 21.4286%, 35.7143%, 31.25%, 100%, 81.25%, 62.5%, 87.5%, 31.25%
Accrodisiaque Versatile Paris for women and men,for women and men, - rose - woody - green - leather - fresh spicy - animalic - fruity - earthy - floral - aromatic, 32.3353%, 5.38922%, 62.2755%, 100%, 85.1852%, 70.3704%, 48.1481%, 7.40741%, 84.375%, 84.375%, 28.125%, 100%, 78.125%, 90.625%
Gueule de Bois Versatile Paris for women and men,for women and men, - woody - warm spicy - rum - balsamic - vanilla - sweet - amber - powdery - smoky - cinnamon, 32.6613%, 3.62903%, 63.7097%, 100%, 70.7317%, 19.5122%, 19.5122%, 4.87805%, 94.7369%, 23.6842%, 15.7895%, 100%, 63.1579%, 68.4211%
Rital Date Versatile Paris for women and men,for women and men, - fresh spicy - aromatic - citrus - woody - fresh - green - warm spicy - herbal - sweet, 31.8033%, 1.63934%, 66.5574%, 100%, 84.4444%, 35.5556%, 11.1111%, 2.22222%, 16.6667%, 85.4167%, 100%, 33.3333%, 91.6667%, 33.3333%
Ambre de Siam Volnay for women and men,for women and men, - warm spicy - amber - woody - patchouli - powdery - citrus, 22.093%, 18.6047%, 59.3023%, 84.2105%, 100%, 0%, 31.5789%, 0%, 100%, 44.4444%, 44.4444%, 100%, 88.8889%, 77.7778%
Brume d'Hiver Volnay for women and men,for women and men, - powdery - aromatic - woody - amber - rose - floral - fresh spicy - vanilla - musky - oud, 36.5217%, 23.913%, 39.5652%, 92.8571%, 100%, 9.52381%, 38.0952%, 0%, 96%, 56%, 28%, 100%, 60%, 68%
Etoile d'Or Volnay for women and men,for women and men, - powdery - vanilla - warm spicy - lavender - rose - amber - musky - aromatic - citrus - mossy, 33.5714%, 21.7857%, 44.6429%, 100%, 91.4894%, 8.51064%, 42.5532%, 4.25532%, 66.6667%, 58.3333%, 50%, 100%, 100%, 62.5%
Objet Céleste Volnay for women,for women, - powdery - floral - citrus - almond - aromatic - vanilla - fresh - white floral - rose - nutty, 31.6923%, 23.0769%, 45.2308%, 72.5807%, 100%, 14.5161%, 27.4194%, 0%, 44.7368%, 84.2105%, 36.8421%, 76.3158%, 100%, 36.8421%
Perlerette Volnay for women,for women, - powdery - violet - vanilla - floral - iris - musky - aldehydic - fresh, 24.216%, 18.8153%, 56.9686%, 74.4186%, 100%, 3.48837%, 20.9302%, 2.32558%, 71.7391%, 73.913%, 28.2609%, 65.2174%, 100%, 41.3043%
Yapana Volnay for women,for women, - amber - powdery - warm spicy - balsamic - woody - vanilla - iris - aromatic - sweet - earthy, 27.9635%, 24.924%, 47.1125%, 70.9091%, 100%, 3.63636%, 27.2727%, 0%, 81.25%, 53.125%, 21.875%, 100%, 50%, 75%
